exp_ID,year,month,day,variable,value,use it (Y/N),crop
1,2011,10,10,Stage,6,n,GM_300
1,2011,10,20,Stage,7,n,GM_300
2,2011,10,10,Stage,6,n,GM_300
2,2011,10,20,Stage,7,n,GM_300
3,2012,8,24,Stage,6,n,GM_600
3,2012,9,3,Stage,7,n,GM_600
3,2013,9,20,Stage,6,n,GM_600
3,2013,9,30,Stage,7,n,GM_600
3,2014,8,31,Stage,6,n,GM_600
3,2014,9,10,Stage,7,n,GM_600
4,2012,8,24,Stage,6,n,GM_600
4,2012,9,3,Stage,7,n,GM_600
4,2013,9,20,Stage,6,n,GM_600
4,2013,9,30,Stage,7,n,GM_600
4,2014,8,31,Stage,6,n,GM_600
4,2014,9,10,Stage,7,n,GM_600
1,2011,10,20,AbBiom,15606.69442,n,GM_300
2,2011,10,20,AbBiom,14277.89938,n,GM_300
3,2012,9,3,AbBiom,28964.26405,y,GM_600
3,2013,9,30,AbBiom,23153.02702,y,GM_600
3,2014,9,10,AbBiom,21280.50855,y,GM_600
4,2012,9,3,AbBiom,30833.34068,y,GM_600
4,2013,9,30,AbBiom,22055.80185,y,GM_600
4,2014,9,10,AbBiom,24543.16014,y,GM_600
1,2011,10,20,Yield,3373.78,n,GM_300
2,2011,10,20,Yield,1648.7848,n,GM_300
3,2012,9,3,Yield,7126.483719,y,GM_600
3,2013,9,30,Yield,9714.71335,y,GM_600
3,2014,9,10,Yield,9511.594732,y,GM_600
4,2012,9,3,Yield,6226.117962,y,GM_600
4,2013,9,30,Yield,9671.257519,y,GM_600
4,2014,9,10,Yield,9936.883705,y,GM_600
1,2011,10,20,GrainN,54.38693565,n,GM_300
2,2011,10,20,GrainN,30.09290313,n,GM_300
3,2012,9,3,GrainN,131.1806712,n,GM_600
3,2013,9,30,GrainN,176.9328442,n,GM_600
3,2014,9,10,GrainN,130.633777,n,GM_600
4,2012,9,3,GrainN,121.8820844,n,GM_600
4,2013,9,30,GrainN,175.4402397,n,GM_600
4,2014,9,10,GrainN,149.0684985,n,GM_600
1,2011,10,20,SumNUp,170.8555548,n,GM_300
2,2011,10,20,SumNUp,184.6936144,n,GM_300
3,2012,9,3,SumNUp,317.2190854,n,GM_600
3,2013,9,30,SumNUp,289.7894141,n,GM_600
3,2014,9,10,SumNUp,208.5469096,n,GM_600
4,2012,9,3,SumNUp,384.2903929,n,GM_600
4,2013,9,30,SumNUp,313.6695128,n,GM_600
4,2014,9,10,SumNUp,246.8060275,n,GM_600
